Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Market Services,Chrome 121.0.0.0,,,12-02-2024 10:40:08,12-02-2024 10:45:03,4m - 55.421s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 10:40:08,12-02-2024 10:40:43,34.831s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 10:40:09,12-02-2024 10:40:12,2.324s,PASSED
navigateToUrl(webfinal),Chrome 121.0.0.0,,,12-02-2024 10:40:12,12-02-2024 10:40:15,3.128s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 10:40:15,12-02-2024 10:40:21,5.924s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,12-02-2024 10:40:21,12-02-2024 10:40:22,0.961s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,12-02-2024 10:40:22,12-02-2024 10:40:23,1.499s,PASSED
"sendKeys(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Username_password""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 10:40:23,12-02-2024 10:40:24,0.487s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 10:40:24,12-02-2024 10:40:26,2.250s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 10:40:26,12-02-2024 10:40:28,2.506s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 10:40:28,12-02-2024 10:40:29,0.371s,PASSED
"if (color == ""tosca"")",Chrome 121.0.0.0,,,12-02-2024 10:40:29,12-02-2024 10:40:29,0.003s,PASSED
"if (color == ""black"")",Chrome 121.0.0.0,,,12-02-2024 10:40:29,12-02-2024 10:40:29,0.002s,PASSED
"if (color == ""red"")",Chrome 121.0.0.0,,,12-02-2024 10:40:29,12-02-2024 10:40:34,5.096s,PASSED
"click(findTestObject(""FinalWeb/Page_Advantage Shopping/input_Quantity_quantity""))",Chrome 121.0.0.0,,,12-02-2024 10:40:34,12-02-2024 10:40:34,0.500s,PASSED
"sendKeys(findTestObject(""FinalWeb/Page_Advantage Shopping/input_Quantity_quantity""), Keys.chord(BACK_SPACE))",Chrome 121.0.0.0,,,12-02-2024 10:40:34,12-02-2024 10:40:35,0.360s,PASSED
"setText(findTestObject(""FinalWeb/Page_Advantage Shopping/input_Quantity_quantity""), qty)",Chrome 121.0.0.0,,,12-02-2024 10:40:35,12-02-2024 10:40:36,0.870s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 10:40:36,12-02-2024 10:40:36,0.355s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/button_CHECKOUT  (516.00)""))",Chrome 121.0.0.0,,,12-02-2024 10:40:36,12-02-2024 10:40:38,1.907s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/h3_ORDER PAYMENT""), 0)",Chrome 121.0.0.0,,,12-02-2024 10:40:38,12-02-2024 10:40:41,3.300s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 10:40:43,12-02-2024 10:40:43,0.001s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 10:40:43,12-02-2024 10:41:24,40.870s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 10:40:43,12-02-2024 10:40:44,0.844s,PASSED
navigateToUrl(webfinal),Chrome 121.0.0.0,,,12-02-2024 10:40:44,12-02-2024 10:40:48,3.548s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 10:40:48,12-02-2024 10:40:54,6.270s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,12-02-2024 10:40:54,12-02-2024 10:40:55,1.012s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,12-02-2024 10:40:55,12-02-2024 10:40:57,2.075s,PASSED
"sendKeys(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Username_password""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 10:40:57,12-02-2024 10:40:58,0.574s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 10:40:58,12-02-2024 10:40:59,1.247s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 10:40:59,12-02-2024 10:41:05,5.830s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 10:41:05,12-02-2024 10:41:05,0.369s,PASSED
"if (color == ""tosca"")",Chrome 121.0.0.0,,,12-02-2024 10:41:05,12-02-2024 10:41:13,7.857s,PASSED
"if (color == ""black"")",Chrome 121.0.0.0,,,12-02-2024 10:41:13,12-02-2024 10:41:13,0.001s,PASSED
