Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Market Services,Chrome 121.0.0.0,,,12-02-2024 11:39:17,12-02-2024 11:44:24,5m - 7.648s,FAILED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 11:39:17,12-02-2024 11:40:19,1m - 2.178s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:39:18,12-02-2024 11:39:19,1.850s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 11:39:19,12-02-2024 11:39:23,3.540s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 11:39:23,12-02-2024 11:39:28,4.669s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 11:39:28,12-02-2024 11:39:36,7.957s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 11:39:36,12-02-2024 11:39:36,0.372s,PASSED
"if (color == ""tosca"")",Chrome 121.0.0.0,,,12-02-2024 11:39:36,12-02-2024 11:39:36,0.005s,PASSED
"if (color == ""black"")",Chrome 121.0.0.0,,,12-02-2024 11:39:36,12-02-2024 11:39:36,0.003s,PASSED
"if (color == ""red"")",Chrome 121.0.0.0,,,12-02-2024 11:39:36,12-02-2024 11:39:45,9.502s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/address""), qty)",Chrome 121.0.0.0,,,12-02-2024 11:39:45,12-02-2024 11:40:17,31.659s,FAILED
Video,Chrome 121.0.0.0,,,12-02-2024 11:40:19,12-02-2024 11:40:19,0.001s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 11:40:19,12-02-2024 11:41:12,53.213s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:40:19,12-02-2024 11:40:20,0.821s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 11:40:20,12-02-2024 11:40:23,3.220s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 11:40:23,12-02-2024 11:40:28,4.864s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 11:40:28,12-02-2024 11:40:34,5.939s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 11:40:34,12-02-2024 11:40:34,0.357s,PASSED
"if (color == ""tosca"")",Chrome 121.0.0.0,,,12-02-2024 11:40:34,12-02-2024 11:40:38,3.750s,PASSED
"if (color == ""black"")",Chrome 121.0.0.0,,,12-02-2024 11:40:38,12-02-2024 11:40:38,0.001s,PASSED
"if (color == ""red"")",Chrome 121.0.0.0,,,12-02-2024 11:40:38,12-02-2024 11:40:38,0.000s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 11:40:38,12-02-2024 11:40:38,0.334s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/address""), qty)",Chrome 121.0.0.0,,,12-02-2024 11:40:38,12-02-2024 11:41:10,31.803s,FAILED
Video,Chrome 121.0.0.0,,,12-02-2024 11:41:12,12-02-2024 11:41:12,0.001s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 11:41:12,12-02-2024 11:42:16,1m - 3.618s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:41:12,12-02-2024 11:41:13,0.789s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 11:41:13,12-02-2024 11:41:16,3.280s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 11:41:16,12-02-2024 11:41:21,4.663s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 11:41:21,12-02-2024 11:41:29,8.327s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 11:41:29,12-02-2024 11:41:30,0.468s,PASSED
"if (color == ""tosca"")",Chrome 121.0.0.0,,,12-02-2024 11:41:30,12-02-2024 11:41:30,0.011s,PASSED
"if (color == ""black"")",Chrome 121.0.0.0,,,12-02-2024 11:41:30,12-02-2024 11:41:42,11.890s,PASSED
"if (color == ""red"")",Chrome 121.0.0.0,,,12-02-2024 11:41:42,12-02-2024 11:41:42,0.000s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 11:41:42,12-02-2024 11:41:42,0.342s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/address""), qty)",Chrome 121.0.0.0,,,12-02-2024 11:41:42,12-02-2024 11:42:14,31.755s,FAILED
Video,Chrome 121.0.0.0,,,12-02-2024 11:42:16,12-02-2024 11:42:16,0.001s,PASSED
,,,,,,,
