Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Market Services,Chrome 121.0.0.0,,,12-02-2024 12:31:25,12-02-2024 12:35:56,4m - 30.531s,FAILED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 12:31:26,12-02-2024 12:32:21,55.489s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 12:31:26,12-02-2024 12:31:28,1.624s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 12:31:28,12-02-2024 12:31:30,1.838s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 12:31:30,12-02-2024 12:31:36,6.852s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:31:36,12-02-2024 12:31:43,6.907s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:31:43,12-02-2024 12:31:44,0.382s,PASSED
"if (color == ""tosca"")",Chrome 121.0.0.0,,,12-02-2024 12:31:44,12-02-2024 12:31:44,0.004s,PASSED
"if (color == ""black"")",Chrome 121.0.0.0,,,12-02-2024 12:31:44,12-02-2024 12:31:44,0.003s,PASSED
"if (color == ""red"")",Chrome 121.0.0.0,,,12-02-2024 12:31:44,12-02-2024 12:31:47,3.438s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/address""), qty)",Chrome 121.0.0.0,,,12-02-2024 12:31:47,12-02-2024 12:32:19,31.849s,FAILED
Video,Chrome 121.0.0.0,,,12-02-2024 12:32:21,12-02-2024 12:32:21,0.001s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 12:32:21,12-02-2024 12:33:15,53.915s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 12:32:21,12-02-2024 12:32:22,0.802s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 12:32:22,12-02-2024 12:32:26,3.974s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 12:32:26,12-02-2024 12:32:31,4.800s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:32:31,12-02-2024 12:32:37,6.521s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:32:37,12-02-2024 12:32:38,0.341s,PASSED
"if (color == ""tosca"")",Chrome 121.0.0.0,,,12-02-2024 12:32:38,12-02-2024 12:32:41,3.329s,PASSED
"if (color == ""black"")",Chrome 121.0.0.0,,,12-02-2024 12:32:41,12-02-2024 12:32:41,0.001s,PASSED
"if (color == ""red"")",Chrome 121.0.0.0,,,12-02-2024 12:32:41,12-02-2024 12:32:41,0.001s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 12:32:41,12-02-2024 12:32:41,0.349s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/address""), qty)",Chrome 121.0.0.0,,,12-02-2024 12:32:41,12-02-2024 12:33:13,31.743s,FAILED
Video,Chrome 121.0.0.0,,,12-02-2024 12:33:15,12-02-2024 12:33:15,0.001s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 12:33:15,12-02-2024 12:34:11,55.953s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 12:33:15,12-02-2024 12:33:16,0.768s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 12:33:16,12-02-2024 12:33:20,3.911s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 12:33:20,12-02-2024 12:33:24,4.511s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:33:24,12-02-2024 12:33:32,7.973s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:33:32,12-02-2024 12:33:33,0.364s,PASSED
