Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Services,Chrome 121.0.0.0,,,12-02-2024 10:02:53,12-02-2024 10:05:48,2m - 54.846s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Registration,Chrome 121.0.0.0,,,12-02-2024 10:02:54,12-02-2024 10:03:32,37.690s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 10:02:55,12-02-2024 10:02:57,2.192s,PASSED
navigateToUrl(webfinal),Chrome 121.0.0.0,,,12-02-2024 10:02:57,12-02-2024 10:03:01,3.524s,PASSED
waitForPageLoad(3),Chrome 121.0.0.0,,,12-02-2024 10:03:01,12-02-2024 10:03:01,0.132s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 10:03:01,12-02-2024 10:03:05,4.496s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,12-02-2024 10:03:05,12-02-2024 10:03:06,1.034s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__usernameRegisterPage""), username)",Chrome 121.0.0.0,,,12-02-2024 10:03:06,12-02-2024 10:03:11,4.382s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__emailRegisterPage""), email)",Chrome 121.0.0.0,,,12-02-2024 10:03:11,12-02-2024 10:03:12,1.194s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__passwordRegisterPage""), password)",Chrome 121.0.0.0,,,12-02-2024 10:03:12,12-02-2024 10:03:13,1.311s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), cpassword)",Chrome 121.0.0.0,,,12-02-2024 10:03:13,12-02-2024 10:03:14,1.271s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_PERSONAL DETAILS_first_nameRegisterPage""), firstName)",Chrome 121.0.0.0,,,12-02-2024 10:03:14,12-02-2024 10:03:16,1.203s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_- Use maximum 30 character_last_nameR_6ef033""), lastName)",Chrome 121.0.0.0,,,12-02-2024 10:03:16,12-02-2024 10:03:17,1.165s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_- Use maximum 30 character_phone_numb_7c938a""), phone)",Chrome 121.0.0.0,,,12-02-2024 10:03:17,12-02-2024 10:03:18,1.375s,PASSED
"selectOptionByLabel(findTestObject(""FinalWeb/Page_Advantage Shopping/Select Country""), country, true)",Chrome 121.0.0.0,,,12-02-2024 10:03:18,12-02-2024 10:03:24,5.641s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Country_cityRegisterPage""), city)",Chrome 121.0.0.0,,,12-02-2024 10:03:24,12-02-2024 10:03:25,0.926s,PASSED
"setText(findTestObject(""FinalWeb/Page_Advantage Shopping/AlamatRumah""), address)",Chrome 121.0.0.0,,,12-02-2024 10:03:25,12-02-2024 10:03:26,1.185s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_- Use maximum 50 character_state__pro_272a54""), state)",Chrome 121.0.0.0,,,12-02-2024 10:03:26,12-02-2024 10:03:27,1.184s,PASSED
"setText(findTestObject(""FinalWeb/Page_Advantage Shopping/kkodepos""), ""133"")",Chrome 121.0.0.0,,,12-02-2024 10:03:27,12-02-2024 10:03:28,1.257s,PASSED
if (offer == 1),Chrome 121.0.0.0,,,12-02-2024 10:03:28,12-02-2024 10:03:28,0.003s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 10:03:28,12-02-2024 10:03:28,0.008s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/TnCbox""))",Chrome 121.0.0.0,,,12-02-2024 10:03:28,12-02-2024 10:03:29,0.628s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/button_REGISTER""))",Chrome 121.0.0.0,,,12-02-2024 10:03:29,12-02-2024 10:03:29,0.545s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 10:03:32,12-02-2024 10:03:32,0.001s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Registration,Chrome 121.0.0.0,,,12-02-2024 10:03:32,12-02-2024 10:04:07,35.493s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 10:03:32,12-02-2024 10:03:33,1.172s,PASSED
navigateToUrl(webfinal),Chrome 121.0.0.0,,,12-02-2024 10:03:33,12-02-2024 10:03:37,3.671s,PASSED
waitForPageLoad(3),Chrome 121.0.0.0,,,12-02-2024 10:03:37,12-02-2024 10:03:37,0.032s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 10:03:37,12-02-2024 10:03:43,6.115s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,12-02-2024 10:03:43,12-02-2024 10:03:44,0.751s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__usernameRegisterPage""), username)",Chrome 121.0.0.0,,,12-02-2024 10:03:44,12-02-2024 10:03:47,3.593s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__emailRegisterPage""), email)",Chrome 121.0.0.0,,,12-02-2024 10:03:47,12-02-2024 10:03:48,1.297s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__passwordRegisterPage""), password)",Chrome 121.0.0.0,,,12-02-2024 10:03:48,12-02-2024 10:03:50,1.143s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), cpassword)",Chrome 121.0.0.0,,,12-02-2024 10:03:50,12-02-2024 10:03:51,1.203s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_PERSONAL DETAILS_first_nameRegisterPage""), firstName)",Chrome 121.0.0.0,,,12-02-2024 10:03:51,12-02-2024 10:03:52,1.278s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_- Use maximum 30 character_last_nameR_6ef033""), lastName)",Chrome 121.0.0.0,,,12-02-2024 10:03:52,12-02-2024 10:03:53,1.248s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_- Use maximum 30 character_phone_numb_7c938a""), phone)",Chrome 121.0.0.0,,,12-02-2024 10:03:53,12-02-2024 10:03:55,1.222s,PASSED
"selectOptionByLabel(findTestObject(""FinalWeb/Page_Advantage Shopping/Select Country""), country, true)",Chrome 121.0.0.0,,,12-02-2024 10:03:55,12-02-2024 10:04:00,4.967s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Country_cityRegisterPage""), city)",Chrome 121.0.0.0,,,12-02-2024 10:04:00,12-02-2024 10:04:00,0.796s,PASSED
"setText(findTestObject(""FinalWeb/Page_Advantage Shopping/AlamatRumah""), address)",Chrome 121.0.0.0,,,12-02-2024 10:04:00,12-02-2024 10:04:02,1.245s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_- Use maximum 50 character_state__pro_272a54""), state)",Chrome 121.0.0.0,,,12-02-2024 10:04:02,12-02-2024 10:04:03,1.207s,PASSED
"setText(findTestObject(""FinalWeb/Page_Advantage Shopping/kkodepos""), ""133"")",Chrome 121.0.0.0,,,12-02-2024 10:04:03,12-02-2024 10:04:04,1.251s,PASSED
if (offer == 1),Chrome 121.0.0.0,,,12-02-2024 10:04:04,12-02-2024 10:04:04,0.001s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 10:04:04,12-02-2024 10:04:04,0.002s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/TnCbox""))",Chrome 121.0.0.0,,,12-02-2024 10:04:04,12-02-2024 10:04:05,0.564s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/button_REGISTER""))",Chrome 121.0.0.0,,,12-02-2024 10:04:05,12-02-2024 10:04:05,0.632s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 10:04:07,12-02-2024 10:04:07,0.001s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Registration,Chrome 121.0.0.0,,,12-02-2024 10:04:07,12-02-2024 10:04:44,36.415s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 10:04:07,12-02-2024 10:04:08,0.892s,PASSED
navigateToUrl(webfinal),Chrome 121.0.0.0,,,12-02-2024 10:04:08,12-02-2024 10:04:12,3.287s,PASSED
waitForPageLoad(3),Chrome 121.0.0.0,,,12-02-2024 10:04:12,12-02-2024 10:04:12,0.016s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 10:04:12,12-02-2024 10:04:18,6.183s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,12-02-2024 10:04:18,12-02-2024 10:04:19,0.681s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__usernameRegisterPage""), username)",Chrome 121.0.0.0,,,12-02-2024 10:04:19,12-02-2024 10:04:24,5.738s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__emailRegisterPage""), email)",Chrome 121.0.0.0,,,12-02-2024 10:04:24,12-02-2024 10:04:26,1.288s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__passwordRegisterPage""), password)",Chrome 121.0.0.0,,,12-02-2024 10:04:26,12-02-2024 10:04:27,1.219s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), cpassword)",Chrome 121.0.0.0,,,12-02-2024 10:04:27,12-02-2024 10:04:28,1.267s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_PERSONAL DETAILS_first_nameRegisterPage""), firstName)",Chrome 121.0.0.0,,,12-02-2024 10:04:28,12-02-2024 10:04:29,1.214s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_- Use maximum 30 character_last_nameR_6ef033""), lastName)",Chrome 121.0.0.0,,,12-02-2024 10:04:29,12-02-2024 10:04:30,1.207s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_- Use maximum 30 character_phone_numb_7c938a""), phone)",Chrome 121.0.0.0,,,12-02-2024 10:04:30,12-02-2024 10:04:32,1.233s,PASSED
"selectOptionByLabel(findTestObject(""FinalWeb/Page_Advantage Shopping/Select Country""), country, true)",Chrome 121.0.0.0,,,12-02-2024 10:04:32,12-02-2024 10:04:36,4.510s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Country_cityRegisterPage""), city)",Chrome 121.0.0.0,,,12-02-2024 10:04:36,12-02-2024 10:04:37,0.763s,PASSED
"setText(findTestObject(""FinalWeb/Page_Advantage Shopping/AlamatRumah""), address)",Chrome 121.0.0.0,,,12-02-2024 10:04:37,12-02-2024 10:04:38,1.242s,PASSED
