Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Market Services,Chrome 121.0.0.0,,,12-02-2024 11:49:14,12-02-2024 11:54:22,5m - 7.975s,FAILED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 11:49:15,12-02-2024 11:50:10,54.830s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:49:15,12-02-2024 11:49:17,1.553s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 11:49:17,12-02-2024 11:49:21,3.901s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 11:49:21,12-02-2024 11:49:25,4.449s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 11:49:25,12-02-2024 11:49:31,6.151s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 11:49:31,12-02-2024 11:49:32,0.329s,PASSED
"if (color == ""tosca"")",Chrome 121.0.0.0,,,12-02-2024 11:49:32,12-02-2024 11:49:32,0.004s,PASSED
"if (color == ""black"")",Chrome 121.0.0.0,,,12-02-2024 11:49:32,12-02-2024 11:49:32,0.003s,PASSED
"if (color == ""red"")",Chrome 121.0.0.0,,,12-02-2024 11:49:32,12-02-2024 11:49:36,3.991s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/address""), qty)",Chrome 121.0.0.0,,,12-02-2024 11:49:36,12-02-2024 11:50:08,31.856s,FAILED
Video,Chrome 121.0.0.0,,,12-02-2024 11:50:10,12-02-2024 11:50:10,0.001s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 11:50:10,12-02-2024 11:51:12,1m - 2.246s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:50:10,12-02-2024 11:50:10,0.800s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 11:50:10,12-02-2024 11:50:13,2.178s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 11:50:13,12-02-2024 11:50:21,8.030s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 11:50:21,12-02-2024 11:50:30,9.812s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 11:50:30,12-02-2024 11:50:31,0.345s,PASSED
"if (color == ""tosca"")",Chrome 121.0.0.0,,,12-02-2024 11:50:31,12-02-2024 11:50:38,6.908s,PASSED
"if (color == ""black"")",Chrome 121.0.0.0,,,12-02-2024 11:50:38,12-02-2024 11:50:38,0.002s,PASSED
"if (color == ""red"")",Chrome 121.0.0.0,,,12-02-2024 11:50:38,12-02-2024 11:50:38,0.001s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 11:50:38,12-02-2024 11:50:38,0.327s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/address""), qty)",Chrome 121.0.0.0,,,12-02-2024 11:50:38,12-02-2024 11:51:10,31.708s,FAILED
Video,Chrome 121.0.0.0,,,12-02-2024 11:51:12,12-02-2024 11:51:12,0.001s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 11:51:12,12-02-2024 11:52:17,1m - 5.250s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:51:12,12-02-2024 11:51:13,0.774s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 11:51:13,12-02-2024 11:51:15,1.899s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 11:51:15,12-02-2024 11:51:25,10.515s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 11:51:25,12-02-2024 11:51:39,13.970s,PASSED
