Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Services,Chrome 121.0.0.0,,,12-02-2024 11:30:58,12-02-2024 11:33:54,2m - 55.453s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Registration,Chrome 121.0.0.0,,,12-02-2024 11:30:59,12-02-2024 11:31:43,43.807s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:30:59,12-02-2024 11:31:01,2.013s,PASSED
navigateToUrl(webfinal),Chrome 121.0.0.0,,,12-02-2024 11:31:01,12-02-2024 11:31:03,1.983s,PASSED
waitForPageLoad(3),Chrome 121.0.0.0,,,12-02-2024 11:31:03,12-02-2024 11:31:03,0.124s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 11:31:03,12-02-2024 11:31:07,3.402s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,12-02-2024 11:31:07,12-02-2024 11:31:12,5.083s,PASSED
"setText(findTestObject(""FinalWeb/Page_Advantage Shopping/input__usernameRegisterPage (1)""), username)",Chrome 121.0.0.0,,,12-02-2024 11:31:12,12-02-2024 11:31:18,5.879s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__emailRegisterPage""), email)",Chrome 121.0.0.0,,,12-02-2024 11:31:18,12-02-2024 11:31:22,3.990s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__passwordRegisterPage""), password)",Chrome 121.0.0.0,,,12-02-2024 11:31:22,12-02-2024 11:31:25,3.603s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), cpassword)",Chrome 121.0.0.0,,,12-02-2024 11:31:25,12-02-2024 11:31:27,1.196s,PASSED
